Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 129700, 129700, 0, 1850, 14.0, 17.0, 20.0, 122.0, 208.0, 1761048248, 36536885291535592
zero, 253980, 253980, 0, 3591, 14.0, 18.0, 20.0, 128.0, 214.0, 1761048266, 36536927491839712
zero, 378369, 378369, 0, 5185, 13.0, 18.0, 20.0, 151.0, 226.0, 1761048284, 36536970023671792
zero, 503156, 503156, 0, 6848, 12.0, 17.0, 20.0, 148.0, 226.0, 1761048301, 36537012816236352
zero, 628168, 628168, 0, 8527, 11.0, 17.0, 21.0, 152.0, 231.0, 1761048319, 36537055817970636
zero, 752776, 752776, 0, 10302, 11.0, 16.0, 21.0, 154.0, 229.0, 1761048337, 36537099125860521
zero, 876724, 876724, 0, 12258, 11.0, 16.0, 22.0, 166.0, 237.0, 1761048356, 36537143076356040
zero, 1001827, 1001827, 0, 14404, 11.0, 16.0, 22.0, 170.0, 240.0, 1761048374, 36537187526611182
zero, 1126366, 1126366, 0, 16162, 11.0, 16.0, 23.0, 183.0, 249.0, 1761048393, 36537232630341144
zero, 1251250, 1251250, 0, 18201, 11.0, 15.0, 19.0, 184.0, 250.0, 1761048412, 36537278777453946
zero, 1375746, 1375746, 0, 20126, 12.0, 15.0, 19.0, 199.0, 255.0, 1761048432, 36537325375989750
zero, 1500858, 1500858, 0, 22073, 12.0, 15.0, 20.0, 207.0, 259.0, 1761048452, 36537372339096594
zero, 1625115, 1625115, 0, 24375, 12.0, 15.0, 20.0, 202.0, 262.0, 1761048472, 36537420432514920
zero, 1749980, 1749980, 0, 26502, 12.0, 16.0, 21.0, 208.0, 267.0, 1761048492, 36537469091099892
zero, 1875350, 1875350, 0, 29213, 13.0, 16.0, 21.0, 215.0, 266.0, 1761048513, 36537518964406914
zero, 1999361, 1999361, 0, 31466, 13.0, 17.0, 22.0, 220.0, 270.0, 1761048534, 36537568837223748
zero, 2124773, 2124773, 0, 34776, 14.0, 17.0, 26.0, 248.0, 643.0, 1761048555, 36537619610962908
zero, 2249174, 2249174, 0, 35950, 14.0, 18.0, 25.0, 256.0, 306.0, 1761048576, 36537670843252674
zero, 2371763, 2371763, 0, 38281, 14.0, 19.0, 27.0, 232.0, 277.0, 1761048598, 36537724081650111
zero, 2496912, 2496912, 0, 40783, 15.0, 21.0, 44.0, 261.0, 302.0, 1761048621, 36537776876794278
[390.297875] CPU 03| <5> init: shutting down -> SUCCESS
