Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 129567, 129567, 0, 1721, 14.0, 17.0, 20.0, 113.0, 205.0, 1761043703, 36526003091086338
zero, 254181, 254181, 0, 3484, 14.0, 18.0, 20.0, 131.0, 215.0, 1761043721, 36526045533269656
zero, 378845, 378845, 0, 5211, 13.0, 17.0, 20.0, 139.0, 220.0, 1761043739, 36526088456299824
zero, 503472, 503472, 0, 7673, 12.0, 16.0, 20.0, 139.0, 218.0, 1761043757, 36526132593265356
zero, 627959, 627959, 0, 9317, 13.0, 19.0, 22.0, 170.0, 238.0, 1761043776, 36526177897596448
zero, 752338, 752338, 0, 11796, 11.0, 15.0, 20.0, 150.0, 228.0, 1761043796, 36526224559613295
zero, 877382, 877382, 0, 18546, 13.0, 19.0, 24.0, 192.0, 246.0, 1761043816, 36526272044809336
zero, 1001474, 1001474, 0, 18182, 11.0, 14.0, 18.0, 174.0, 242.0, 1761043836, 36526321239367644
zero, 1125116, 1125116, 0, 39407, 12.0, 18.0, 24.0, 201.0, 257.0, 1761043857, 36526371375284776
zero, 1250789, 1250789, 0, 29690, 11.0, 15.0, 19.0, 201.0, 249.0, 1761043878, 36526422516955977
zero, 1367417, 1367417, 0, 96247, 12.0, 15.0, 21.0, 215.0, 269.0, 1761043901, 36526475923257615
zero, 1497120, 1497120, 0, 64208, 12.0, 16.0, 23.0, 222.0, 267.0, 1761043923, 36526530202917933
zero, 1598351, 1598351, 0, 277634, 12.0, 16.0, 22.0, 249.0, 279.0, 1761043946, 36526585395389064
zero, 1733612, 1733612, 0, 197137, 12.0, 16.0, 22.0, 234.0, 267.0, 1761043970, 36526641869747820
zero, 1839053, 1839053, 0, 387479, 13.0, 16.0, 29.0, 228.0, 256.0, 1761043994, 36526699345979736
zero, 1822368, 1822368, 0, 1651511, 12.0, 16.0, 31.0, 247.0, 278.0, 1761044019, 36526758502256463
zero, 1947202, 1947202, 0, 1644983, 13.0, 16.0, 29.0, 238.0, 261.0, 1761044044, 36526817920332381
zero, 1824369, 1824369, 0, 3871339, 13.0, 17.0, 45.0, 285.0, 332.0, 1761044069, 36526879360970847
zero, 1957665, 1957665, 0, 3788575, 13.0, 15.0, 37.0, 313.0, 385.0, 1761044096, 36526942411168776
zero, 1964553, 1964553, 0, 4846335, 13.0, 15.0, 33.0, 319.0, 388.0, 1761044123, 36527007018277122
[439.195363] CPU 01| <5> init: shutting down -> SUCCESS
