Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
bimodal, 129783, 129783, 0, 1667, 17.0, 34.0, 51.0, 170.0, 240.0, 1761058373, 36561128193108144
bimodal, 254208, 254208, 0, 3393, 20.0, 41.0, 65.0, 194.0, 261.0, 1761058391, 36561170486133656
bimodal, 378826, 378826, 0, 5403, 24.0, 48.0, 77.0, 211.0, 286.0, 1761058409, 36561213413296128
bimodal, 503426, 503426, 0, 7421, 24.0, 47.0, 76.0, 214.0, 279.0, 1761058427, 36561257656693056
bimodal, 627797, 627797, 0, 8875, 23.0, 44.0, 69.0, 206.0, 262.0, 1761058446, 36561303483847023
bimodal, 752829, 752829, 0, 11585, 21.0, 41.0, 71.0, 206.0, 264.0, 1761058466, 36561350083590252
bimodal, 876844, 876844, 0, 17916, 22.0, 39.0, 60.0, 206.0, 253.0, 1761058486, 36561398513279580
bimodal, 1000027, 1000027, 0, 31517, 22.0, 41.0, 66.0, 211.0, 265.0, 1761058507, 36561448235427564
bimodal, 1125195, 1125195, 0, 38435, 23.0, 43.0, 71.0, 218.0, 293.0, 1761058528, 36561499499397075
bimodal, 1250709, 1250709, 0, 29811, 25.0, 47.0, 91.0, 230.0, 300.0, 1761058550, 36561551434680924
bimodal, 1372839, 1372839, 0, 47953, 34.0, 77.0, 216.0, 286.0, 335.0, 1761058572, 36561604732792872
bimodal, 1497474, 1429882, 608335, 68067, 2325.0, 2453.0, inf, inf, inf, 1761058595, 36561660527364405
bimodal, 1603923, 1429810, 1566774, 232698, 2392.0, inf, inf, inf, inf, 1761058619, 36561716337259926
bimodal, 1739766, 1430017, 2787724, 143688, 2452.0, inf, inf, inf, inf, 1761058643, 36561773804462520
bimodal, 1851413, 1427619, 3814047, 270144, 2502.0, inf, inf, inf, inf, 1761058667, 36561833195722884
bimodal, 1871463, 1429723, 3975914, 1208699, 2508.0, inf, inf, inf, inf, 1761058692, 36561892607223981
bimodal, 1905061, 1428620, 4287742, 2033343, 2522.0, inf, inf, inf, inf, 1761058718, 36561954416669424
bimodal, 1926751, 1427514, 4493214, 2961943, 2534.0, inf, inf, inf, inf, 1761058745, 36562018643841594
bimodal, 2067970, 1429190, 5748903, 2791794, 2580.0, inf, inf, inf, inf, 1761058771, 36562082177622015
bimodal, 1897935, 1429180, 4218851, 5449454, 2521.0, inf, inf, inf, inf, 1761058799, 36562147643458959
[446.055850] CPU 02| <5> init: shutting down -> SUCCESS
