Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 129582, 129582, 0, 1689, 14.0, 17.0, 20.0, 119.0, 206.0, 1761047728, 36535639505449344
zero, 254049, 254049, 0, 3559, 14.0, 18.0, 20.0, 136.0, 217.0, 1761047746, 36535681835165144
zero, 379102, 379102, 0, 5403, 13.0, 17.0, 20.0, 138.0, 218.0, 1761047763, 36535724835507108
zero, 503276, 503276, 0, 7772, 12.0, 17.0, 20.0, 145.0, 227.0, 1761047782, 36535768776618978
zero, 627829, 627829, 0, 11461, 13.0, 19.0, 22.0, 174.0, 236.0, 1761047801, 36535814112225816
zero, 752389, 752389, 0, 14005, 11.0, 15.0, 21.0, 160.0, 231.0, 1761047820, 36535860484771440
zero, 877733, 877733, 0, 15838, 12.0, 18.0, 23.0, 187.0, 239.0, 1761047840, 36535908340880832
zero, 999982, 999982, 0, 26717, 11.0, 15.0, 21.0, 179.0, 242.0, 1761047861, 36535957599677571
zero, 1126750, 1126750, 0, 23137, 12.0, 16.0, 23.0, 204.0, 259.0, 1761047882, 36536007845010393
zero, 1247548, 1247548, 0, 55194, 12.0, 16.0, 24.0, 208.0, 250.0, 1761047903, 36536059542131808
zero, 1368752, 1368752, 0, 87527, 12.0, 15.0, 21.0, 217.0, 270.0, 1761047925, 36536112484658226
zero, 1496685, 1496685, 0, 71035, 12.0, 15.0, 20.0, 232.0, 280.0, 1761047948, 36536166593895192
zero, 1619181, 1619181, 0, 101811, 12.0, 16.0, 21.0, 242.0, 272.0, 1761047971, 36536222780329626
zero, 1699454, 1699454, 0, 505949, 12.0, 16.0, 25.0, 237.0, 269.0, 1761047995, 36536279619821400
zero, 1769167, 1769167, 0, 1009572, 12.0, 16.0, 29.0, 228.0, 254.0, 1761048019, 36536337523865127
zero, 1908563, 1908563, 0, 874668, 12.0, 16.0, 31.0, 249.0, 281.0, 1761048044, 36536395904135670
zero, 1956618, 1956618, 0, 1562146, 12.0, 16.0, 33.0, 233.0, 258.0, 1761048069, 36536457145492236
zero, 1815623, 1815623, 0, 3952183, 12.0, 16.0, 35.0, 349.0, 418.0, 1761048095, 36536518096779468
zero, 1959136, 1959136, 0, 3765987, 12.0, 15.0, 31.0, 311.0, 374.0, 1761048121, 36536580156900117
zero, 1964002, 1964002, 0, 4849686, 13.0, 15.0, 31.0, 316.0, 382.0, 1761048148, 36536644433091156
[439.172581] CPU 11| <5> init: shutting down -> SUCCESS
