Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
bimodal, 129540, 129540, 0, 1715, 17.0, 34.0, 50.0, 171.0, 235.0, 1761057858, 36559894519339832
bimodal, 254312, 254312, 0, 3408, 20.0, 41.0, 65.0, 199.0, 269.0, 1761057875, 36559936797713808
bimodal, 378940, 378940, 0, 5238, 24.0, 48.0, 77.0, 219.0, 367.0, 1761057893, 36559979855135080
bimodal, 503188, 503188, 0, 7327, 24.0, 46.0, 74.0, 210.0, 278.0, 1761057912, 36560024139977802
bimodal, 628279, 628279, 0, 10090, 23.0, 44.0, 69.0, 208.0, 339.0, 1761057931, 36560069877058242
bimodal, 752266, 752266, 0, 13400, 21.0, 41.0, 70.0, 207.0, 267.0, 1761057951, 36560117018842944
bimodal, 877180, 877180, 0, 14117, 21.0, 39.0, 60.0, 199.0, 245.0, 1761057971, 36560165589335763
bimodal, 1001912, 1001912, 0, 18121, 22.0, 41.0, 65.0, 208.0, 262.0, 1761057992, 36560215508815476
bimodal, 1126723, 1126723, 0, 22482, 23.0, 43.0, 71.0, 220.0, 279.0, 1761058013, 36560266218065514
bimodal, 1250378, 1250378, 0, 29254, 25.0, 46.0, 91.0, 226.0, 263.0, 1761058035, 36560318866259781
bimodal, 1368676, 1368676, 0, 93082, 33.0, 73.0, 214.0, 295.0, 393.0, 1761058057, 36560372164042629
bimodal, 1498651, 1428893, 627838, 58302, 2329.0, 2454.0, inf, inf, inf, 1761058080, 36560426855978751
bimodal, 1620663, 1427472, 1738791, 85144, 2403.0, inf, inf, inf, inf, 1761058104, 36560483268007767
bimodal, 1715266, 1428498, 2580712, 359340, 2444.0, inf, inf, inf, inf, 1761058128, 36560540998206900
bimodal, 1787381, 1429015, 3225370, 844259, 2475.0, inf, inf, inf, inf, 1761058153, 36560600502512565
bimodal, 1849718, 1428365, 3792265, 1408087, 2500.0, inf, inf, inf, inf, 1761058178, 36560661346631925
bimodal, 1887873, 1429957, 4121045, 2179374, 2514.0, inf, inf, inf, inf, 1761058204, 36560723261154492
bimodal, 1917086, 1428150, 4400356, 3034167, 2528.0, inf, inf, inf, inf, 1761058231, 36560787642139674
bimodal, 2066809, 1427759, 5751273, 2804449, 2579.0, inf, inf, inf, inf, 1761058257, 36560850352354086
bimodal, 2068792, 1427567, 5770571, 3912480, 2581.0, inf, inf, inf, inf, 1761058284, 36560915992759623
[446.550647] CPU 11| <5> init: shutting down -> SUCCESS
