Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
bimodal, 204528, 204528, 0, 2519, 16.0, 22.0, 38.0, 167.0, 226.0, 1745001060, 4974747877534840
bimodal, 403485, 403485, 0, 5187, 20.0, 34.0, 50.0, 200.0, 319.0, 1745001078, 4974790411883472
bimodal, 603630, 603630, 0, 7966, 14.0, 22.0, 39.0, 186.0, 231.0, 1745001097, 4974835334386032
bimodal, 803710, 803710, 0, 10924, 18.0, 34.0, 57.0, 194.0, 248.0, 1745001116, 4974882327588807
bimodal, 1003260, 1003260, 0, 13911, 18.0, 32.0, 57.0, 202.0, 252.0, 1745001137, 4974931803014922
bimodal, 1202698, 1202698, 0, 16867, 18.0, 32.0, 49.0, 198.0, 244.0, 1745001158, 4974983166957933
bimodal, 1402623, 1402623, 0, 20414, 19.0, 34.0, 53.0, 198.0, 236.0, 1745001181, 4975036275335850
bimodal, 1604845, 1604845, 0, 26150, 19.0, 34.0, 59.0, 205.0, 238.0, 1745001203, 4975091066246139
bimodal, 1748057, 1748057, 0, 520584, 20.0, 37.0, 71.0, 215.0, 245.0, 1745001228, 4975149233703552
bimodal, 1838876, 1838876, 0, 1499661, 20.0, 40.0, 93.0, 226.0, 266.0, 1745001253, 4975209100599504
bimodal, 1850153, 1850153, 0, 3197206, 21.0, 42.0, 101.0, 240.0, 285.0, 1745001279, 4975272243420225
bimodal, 1924674, 1924674, 0, 4336969, 21.0, 43.0, 163.0, 254.0, 286.0, 1745001306, 4975336592838126
bimodal, 1903939, 1903939, 0, 6336091, 21.0, 42.0, 152.0, 245.0, 295.0, 1745001333, 4975401307615557
bimodal, 1735754, 1735754, 0, 9697883, 20.0, 42.0, 80.0, 238.0, 279.0, 1745001361, 4975469256880653
bimodal, 1858823, 1858823, 0, 10339788, 21.0, 44.0, 122.0, 243.0, 282.0, 1745001391, 4975540266614619
bimodal, 1715669, 1715669, 0, 13448898, 20.0, 41.0, 77.0, 230.0, 262.0, 1745001422, 4975614086646519
bimodal, 1800983, 1800983, 0, 14453107, 20.0, 43.0, 93.0, 236.0, 280.0, 1745001453, 4975688694013383
bimodal, 1778799, 1778799, 0, 16544960, 21.0, 44.0, 86.0, 232.0, 260.0, 1745001484, 4975763951256462
bimodal, 1751995, 1751995, 0, 18509954, 20.0, 42.0, 81.0, 234.0, 293.0, 1745001517, 4975842852765996
bimodal, 1723456, 1723456, 0, 20562741, 20.0, 41.0, 76.0, 222.0, 256.0, 1745001552, 4975925375768880
[514.059021] CPU 13| <5> init: shutting down -> SUCCESS
