Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 129420, 129420, 0, 1749, 14.0, 17.0, 20.0, 116.0, 208.0, 1744643347, 4118402885650144
zero, 253946, 253946, 0, 3452, 14.0, 18.0, 21.0, 132.0, 216.0, 1744643364, 4118445177011000
zero, 378497, 378497, 0, 5359, 13.0, 18.0, 21.0, 143.0, 222.0, 1744643382, 4118488049807892
zero, 503335, 503335, 0, 7534, 13.0, 18.0, 21.0, 152.0, 228.0, 1744643401, 4118531941378808
zero, 627651, 627651, 0, 9389, 11.0, 16.0, 20.0, 153.0, 226.0, 1744643419, 4118577231084633
zero, 752755, 752755, 0, 13974, 12.0, 16.0, 22.0, 174.0, 230.0, 1744643439, 4118623486899544
zero, 876816, 876816, 0, 19470, 11.0, 14.0, 18.0, 163.0, 238.0, 1744643459, 4118671065884847
zero, 1001175, 1001175, 0, 18569, 12.0, 16.0, 22.0, 193.0, 247.0, 1744643479, 4118719974371202
zero, 1126406, 1126406, 0, 23378, 11.0, 15.0, 18.0, 188.0, 242.0, 1744643500, 4118770201790502
zero, 1249629, 1249629, 0, 30023, 12.0, 15.0, 22.0, 197.0, 264.0, 1744643522, 4118821798318191
zero, 1368385, 1368385, 0, 84143, 12.0, 16.0, 22.0, 221.0, 258.0, 1744643543, 4118873513260722
zero, 1490176, 1490176, 0, 134954, 12.0, 15.0, 20.0, 232.0, 262.0, 1744643566, 4118927776540290
zero, 1600565, 1600565, 0, 269683, 12.0, 16.0, 22.0, 260.0, 305.0, 1744643589, 4118982089638377
zero, 1706834, 1706834, 0, 448887, 12.0, 16.0, 24.0, 219.0, 252.0, 1744643612, 4119037956424125
zero, 1836092, 1836092, 0, 408251, 12.0, 16.0, 24.0, 240.0, 273.0, 1744643636, 4119096196390704
zero, 1809495, 1809495, 0, 1769638, 12.0, 17.0, 37.0, 234.0, 258.0, 1744643660, 4119154330531239
zero, 1827564, 1827564, 0, 2710191, 12.0, 16.0, 41.0, 255.0, 288.0, 1744643686, 4119215155389882
zero, 1973209, 1973209, 0, 2535977, 13.0, 16.0, 34.0, 306.0, 356.0, 1744643712, 4119276848413887
zero, 1817890, 1817890, 0, 5036621, 12.0, 16.0, 31.0, 349.0, 435.0, 1744643737, 4119337629426504
zero, 1989455, 1989455, 0, 4625960, 13.0, 16.0, 40.0, 352.0, 429.0, 1744643764, 4119401128731042
