# Generated with command:
# $ sudo ./apps/synthetic/target/release/synthetic 128.110.218.185:5000 --config client.config --mode runtime-client --start_mpps=0.005 --mpps=4.0 --samples=20 --rampup=4 --intersample_sleep=2

Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 204574, 204574, 0, 2683, 14.0, 18.0, 20.0, 128.0, 219.0, 1744662924, 4165279402833640
zero, 403789, 403789, 0, 5727, 12.0, 15.0, 18.0, 136.0, 214.0, 1744662942, 4165322071630812
zero, 603955, 603955, 0, 8564, 11.0, 14.0, 18.0, 140.0, 215.0, 1744662961, 4165366635171680
zero, 803477, 803477, 0, 13376, 11.0, 15.0, 21.0, 165.0, 228.0, 1744662980, 4165413115613988
zero, 1001244, 1001244, 0, 27163, 11.0, 15.0, 19.0, 183.0, 244.0, 1744663000, 4165461466994346
zero, 1199496, 1199496, 0, 47908, 12.0, 16.0, 23.0, 199.0, 253.0, 1744663021, 4165511294956431
zero, 1400700, 1400700, 0, 46037, 12.0, 15.0, 19.0, 200.0, 247.0, 1744663043, 4165563857605734
zero, 1596015, 1596015, 0, 97230, 12.0, 16.0, 25.0, 234.0, 270.0, 1744663066, 4165618138185144
zero, 1741633, 1741633, 0, 589126, 12.0, 16.0, 25.0, 225.0, 254.0, 1744663089, 4165674124240167
zero, 1821185, 1821185, 0, 1661080, 13.0, 17.0, 40.0, 274.0, 324.0, 1744663113, 4165730993032560
zero, 1841954, 1841954, 0, 3261325, 12.0, 16.0, 34.0, 301.0, 352.0, 1744663138, 4165791919180488
zero, 1945461, 1945461, 0, 4152142, 12.0, 15.0, 50.0, 308.0, 366.0, 1744663164, 4165854765104358
zero, 1831726, 1831726, 0, 6981907, 13.0, 16.0, 57.0, 297.0, 352.0, 1744663192, 4165919453279388
zero, 1812139, 1812139, 0, 8999470, 12.0, 15.0, 28.0, 253.0, 278.0, 1744663219, 4165984419746178
zero, 1928978, 1928978, 0, 9714032, 13.0, 18.0, 58.0, 276.0, 312.0, 1744663247, 4166052243787410
zero, 1927428, 1927428, 0, 11554645, 12.0, 15.0, 25.0, 244.0, 270.0, 1744663276, 4166121450666483
zero, 1756435, 1756435, 0, 14854561, 12.0, 16.0, 47.0, 269.0, 306.0, 1744663307, 4166195449934889
zero, 1881384, 1881384, 0, 15625436, 12.0, 15.0, 23.0, 306.0, 355.0, 1744663337, 4166266713822780
zero, 1840605, 1840605, 0, 17734584, 12.0, 14.0, 24.0, 313.0, 377.0, 1744663367, 4166340606318228
zero, 1765292, 1765292, 0, 20184206, 12.0, 14.0, 29.0, 274.0, 313.0, 1744663400, 4166417818439493
