Only IOK A in server:

Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 991, 991, 0, 0, 44.0, 47.0, 51.0, 143.0, 230.0, 1729687329, 48390828664450744
zero, 1990, 1990, 0, 0, 44.0, 47.0, 52.0, 150.0, 226.0, 1729687344, 48390865731208008
zero, 3015, 3015, 0, 1, 44.0, 47.0, 53.0, 160.0, 237.0, 1729687360, 48390902948483160
zero, 4011, 4011, 0, 0, 44.0, 48.0, 54.0, 167.0, 236.0, 1729687375, 48390940029980104
zero, 4997, 4997, 0, 0, 43.0, 48.0, 53.0, 189.0, 239.0, 1729687391, 48390977035031720
zero, 6028, 6028, 0, 0, 43.0, 48.0, 55.0, 152.0, 238.0, 1729687406, 48391014297755840
zero, 7004, 7004, 0, 0, 42.0, 48.0, 54.0, 136.0, 236.0, 1729687422, 48391051344126248
zero, 7980, 7980, 0, 0, 43.0, 48.0, 55.0, 144.0, 236.0, 1729687437, 48391088457457528
zero, 9015, 9015, 0, 3, 40.0, 48.0, 55.0, 184.0, 245.0, 1729687453, 48391125635506584
zero, 9994, 9994, 0, 0, 43.0, 51.0, 60.0, 145.0, 242.0, 1729687468, 48391162759037256
zero, 11016, 11016, 0, 0, 43.0, 52.0, 60.0, 163.0, 242.0, 1729687484, 48391199899569528
zero, 12001, 12001, 0, 2, 42.0, 51.0, 60.0, 152.0, 245.0, 1729687499, 48391237035476496
zero, 13058, 13058, 0, 0, 44.0, 53.0, 63.0, 166.0, 247.0, 1729687515, 48391274171486728
zero, 13939, 13939, 0, 0, 39.0, 49.0, 58.0, 140.0, 243.0, 1729687530, 48391311286290280
zero, 14952, 14952, 0, 1, 41.0, 49.0, 57.0, 147.0, 242.0, 1729687546, 48391348467788856
zero, 16060, 16060, 0, 0, 38.0, 48.0, 57.0, 148.0, 243.0, 1729687561, 48391385630741992
zero, 16964, 16964, 0, 1, 40.0, 49.0, 58.0, 145.0, 246.0, 1729687577, 48391422750112952
zero, 17862, 17862, 0, 2, 40.0, 49.0, 58.0, 158.0, 244.0, 1729687592, 48391459904634056
zero, 19039, 19039, 0, 1, 39.0, 49.0, 57.0, 157.0, 249.0, 1729687608, 48391497066140160
zero, 20033, 20033, 0, 0, 39.0, 49.0, 57.0, 157.0, 250.0, 1729687623, 48391534216160024
[310.287632] CPU 01| <5> init: shutting down -> SUCCESS


IOK A and IOK B in server (synthetic in B):

Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 1014, 1014, 0, 1, 19.0, 21.0, 24.0, 105.0, 195.0, 1729689326, 48395610672887919
zero, 2007, 2007, 0, 0, 18.0, 20.0, 27.0, 38.0, 189.0, 1729689341, 48395647750768968
zero, 3035, 3035, 0, 0, 18.0, 20.0, 28.0, 100.0, 196.0, 1729689357, 48395684933692236
zero, 3998, 3998, 0, 0, 18.0, 21.0, 29.0, 77.0, 186.0, 1729689372, 48395722076827821
zero, 5032, 5032, 0, 0, 18.0, 22.0, 30.0, 99.0, 192.0, 1729689388, 48395759206759908
zero, 6003, 6003, 0, 0, 18.0, 22.0, 29.0, 71.0, 195.0, 1729689403, 48395796303918927
zero, 7018, 7018, 0, 0, 18.0, 24.0, 32.0, 87.0, 193.0, 1729689419, 48395833373016651
zero, 7987, 7987, 0, 2, 18.0, 23.0, 31.0, 105.0, 194.0, 1729689434, 48395870533204335
zero, 9048, 9048, 0, 2, 19.0, 23.0, 31.0, 93.0, 199.0, 1729689450, 48395907654947640
zero, 9996, 9996, 0, 1, 19.0, 23.0, 31.0, 88.0, 199.0, 1729689465, 48395944767822573
zero, 11025, 11025, 0, 0, 19.0, 24.0, 32.0, 106.0, 203.0, 1729689481, 48395981865905793
zero, 12013, 12013, 0, 1, 19.0, 24.0, 33.0, 84.0, 203.0, 1729689496, 48396019057814316
zero, 12980, 12980, 0, 1, 19.0, 26.0, 35.0, 65.0, 197.0, 1729689512, 48396056179917216
zero, 14000, 14000, 0, 0, 19.0, 25.0, 33.0, 85.0, 200.0, 1729689527, 48396093301863339
zero, 15018, 15018, 0, 2, 19.0, 25.0, 34.0, 81.0, 198.0, 1729689543, 48396130463269413
zero, 15949, 15949, 0, 0, 19.0, 27.0, 37.0, 88.0, 196.0, 1729689558, 48396167605404423
zero, 16993, 16993, 0, 0, 19.0, 28.0, 40.0, 114.0, 211.0, 1729689574, 48396204742985205
zero, 18032, 18032, 0, 0, 20.0, 28.0, 41.0, 104.0, 214.0, 1729689590, 48396241939315476
zero, 19002, 19002, 0, 1, 19.0, 27.0, 38.0, 87.0, 206.0, 1729689605, 48396279048497790
zero, 19930, 19930, 0, 1, 19.0, 28.0, 41.0, 118.0, 210.0, 1729689621, 48396316213831452
[310.270829] CPU 02| <5> init: shutting down -> SUCCESS

IOK A and IOK B in server (synthetic in A):
Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 1011, 1011, 0, 0, 19.0, 20.0, 26.0, 54.0, 192.0, 1729689832, 48396821435651148
zero, 1994, 1994, 0, 0, 18.0, 20.0, 28.0, 98.0, 192.0, 1729689847, 48396858483824091
zero, 3022, 3022, 0, 0, 18.0, 20.0, 29.0, 67.0, 194.0, 1729689863, 48396895596351090
zero, 3958, 3958, 0, 0, 18.0, 21.0, 29.0, 84.0, 201.0, 1729689878, 48396932727705003
zero, 4986, 4986, 0, 1, 19.0, 25.0, 259110.0, 340130.0, 347720.0, 1729689894, 48396969836498007
zero, 6007, 6007, 0, 0, 19.0, 25.0, 35.0, 110.0, 205.0, 1729689909, 48397006997048388
zero, 6976, 6976, 0, 0, 18.0, 24.0, 32.0, 85.0, 194.0, 1729689925, 48397044055036002
zero, 8004, 8004, 0, 1, 19.0, 26.0, 35.0, 91.0, 200.0, 1729689940, 48397081248727608
zero, 8999, 8999, 0, 0, 18.0, 26.0, 34.0, 80.0, 196.0, 1729689956, 48397118374361637
zero, 9995, 9995, 0, 1, 18.0, 26.0, 35.0, 98.0, 201.0, 1729689971, 48397155471168597
zero, 10981, 10981, 0, 0, 18.0, 27.0, 35.0, 95.0, 200.0, 1729689987, 48397192639121805
zero, 12073, 12073, 0, 0, 19.0, 27.0, 37.0, 112.0, 206.0, 1729690002, 48397229719818540
zero, 13002, 13002, 0, 0, 19.0, 27.0, 37.0, 103.0, 200.0, 1729690018, 48397266884039484
zero, 14035, 14035, 0, 2, 19.0, 28.0, 38.0, 110.0, 204.0, 1729690033, 48397304027502792
zero, 14972, 14972, 0, 0, 19.0, 28.0, 38.0, 69.0, 201.0, 1729690049, 48397341122073708
zero, 15945, 15945, 0, 1, 19.0, 28.0, 39.0, 94.0, 202.0, 1729690064, 48397378292626686
zero, 16949, 16949, 0, 3, 19.0, 29.0, 40.0, 98.0, 208.0, 1729690080, 48397415431591440
zero, 18146, 18146, 0, 1, 19.0, 29.0, 40.0, 92.0, 206.0, 1729690095, 48397452619506690
zero, 18974, 18974, 0, 2, 19.0, 30.0, 41.0, 90.0, 209.0, 1729690111, 48397489768759713
zero, 20062, 20062, 0, 6, 19.0, 32.0, 7115.0, 18720.0, 23681.0, 1729690126, 48397526945118135
[310.272301] CPU 03| <5> init: shutting down -> SUCCESS
