Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 994, 994, 0, 11, 15.0, 16.0, 18.0, 135.0, 204.0, 1740939267, 8796900593641256
zero, 1979, 1979, 0, 26, 15.0, 16.0, 18.0, 74.0, 197.0, 1740939283, 8796937687302976
zero, 2986, 2986, 0, 43, 15.0, 16.0, 18.0, 104.0, 199.0, 1740939298, 8796974836671904
zero, 4001, 4001, 0, 54, 15.0, 16.0, 18.0, 112.0, 203.0, 1740939314, 8797011854220192
zero, 4966, 4966, 0, 58, 15.0, 16.0, 18.0, 120.0, 200.0, 1740939329, 8797049007399136
zero, 5964, 5964, 0, 76, 15.0, 16.0, 18.0, 106.0, 196.0, 1740939345, 8797086145062760
zero, 6994, 6994, 0, 87, 15.0, 16.0, 18.0, 98.0, 197.0, 1740939360, 8797123254933144
zero, 7981, 7981, 0, 106, 15.0, 16.0, 18.0, 92.0, 207.0, 1740939376, 8797160375004208
zero, 8980, 8980, 0, 112, 15.0, 16.0, 18.0, 128.0, 202.0, 1740939391, 8797197452938968
zero, 9977, 9977, 0, 142, 14.0, 16.0, 18.0, 114.0, 203.0, 1740939407, 8797234639226440
zero, 10921, 10921, 0, 158, 15.0, 16.0, 18.0, 124.0, 205.0, 1740939422, 8797271736155832
zero, 12078, 12078, 0, 156, 15.0, 16.0, 18.0, 125.0, 206.0, 1740939438, 8797308901189176
zero, 12928, 12928, 0, 194, 15.0, 16.0, 18.0, 101.0, 202.0, 1740939453, 8797346048444408
zero, 14055, 14055, 0, 182, 15.0, 16.0, 18.0, 107.0, 198.0, 1740939469, 8797383185692536
zero, 15013, 15013, 0, 224, 15.0, 16.0, 18.0, 121.0, 203.0, 1740939484, 8797420313217888
zero, 15946, 15946, 0, 227, 15.0, 16.0, 18.0, 102.0, 204.0, 1740939500, 8797457487833000
zero, 16970, 16970, 0, 226, 15.0, 16.0, 18.0, 113.0, 201.0, 1740939515, 8797494702175432
zero, 18023, 18023, 0, 230, 15.0, 16.0, 18.0, 112.0, 201.0, 1740939531, 8797531897174064
zero, 18903, 18903, 0, 243, 15.0, 16.0, 18.0, 117.0, 207.0, 1740939546, 8797569053077920
zero, 19927, 19927, 0, 228, 15.0, 16.0, 18.0, 104.0, 201.0, 1740939562, 8797606249548888
