Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 993, 993, 0, 10, 14.0, 16.0, 18.0, 42.0, 178.0, 1738715195, 3471698721686560
zero, 1999, 1999, 0, 37, 14.0, 15.0, 17.0, 87.0, 207.0, 1738715210, 3471735799337520
zero, 3013, 3013, 0, 52, 14.0, 16.0, 17.0, 129.0, 202.0, 1738715226, 3471772922916576
zero, 4009, 4009, 0, 51, 14.0, 15.0, 17.0, 98.0, 196.0, 1738715241, 3471810026697000
zero, 4950, 4950, 0, 74, 14.0, 15.0, 17.0, 88.0, 198.0, 1738715257, 3471847133831504
zero, 6022, 6022, 0, 68, 14.0, 16.0, 17.0, 100.0, 195.0, 1738715272, 3471884287521904
zero, 6987, 6987, 0, 84, 14.0, 15.0, 17.0, 85.0, 199.0, 1738715288, 3471921360980392
zero, 7977, 7977, 0, 106, 14.0, 16.0, 17.0, 104.0, 202.0, 1738715303, 3471958542604456
zero, 8973, 8973, 0, 126, 14.0, 15.0, 17.0, 109.0, 198.0, 1738715319, 3471995606261496
zero, 9947, 9947, 0, 127, 14.0, 16.0, 17.0, 95.0, 197.0, 1738715334, 3472032745707944
zero, 11026, 11026, 0, 164, 14.0, 15.0, 17.0, 116.0, 206.0, 1738715350, 3472069887114984
zero, 12034, 12034, 0, 138, 14.0, 16.0, 18.0, 98.0, 202.0, 1738715365, 3472107015960600
zero, 12996, 12996, 0, 191, 14.0, 16.0, 18.0, 107.0, 201.0, 1738715381, 3472144120484136
zero, 14008, 14008, 0, 166, 14.0, 15.0, 17.0, 91.0, 205.0, 1738715396, 3472181270875400
zero, 14967, 14967, 0, 211, 14.0, 16.0, 18.0, 107.0, 206.0, 1738715412, 3472218439440208
zero, 15930, 15930, 0, 207, 14.0, 15.0, 17.0, 115.0, 205.0, 1738715427, 3472255569385008
zero, 16968, 16968, 0, 228, 14.0, 16.0, 18.0, 116.0, 201.0, 1738715443, 3472292761362712
zero, 17884, 17884, 0, 240, 14.0, 15.0, 17.0, 119.0, 205.0, 1738715458, 3472329853106920
zero, 18922, 18922, 0, 255, 14.0, 16.0, 18.0, 96.0, 200.0, 1738715474, 3472367022658624
zero, 19988, 19988, 0, 282, 14.0, 16.0, 18.0, 109.0, 204.0, 1738715489, 3472404179643800
