Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 995, 995, 0, 15, 15.0, 17.0, 18.0, 106.0, 207.0, 1740944640, 8809765659850928
zero, 1997, 1997, 0, 35, 15.0, 17.0, 18.0, 177.0, 256.0, 1740944656, 8809802871065808
zero, 3007, 3007, 0, 38, 15.0, 16.0, 18.0, 63.0, 202.0, 1740944671, 8809839964663648
zero, 3973, 3973, 0, 40, 12.0, 14.0, 17.0, 134.0, 201.0, 1740944687, 8809877022333188
zero, 4957, 4957, 0, 49, 15.0, 16.0, 18.0, 143.0, 207.0, 1740944702, 8809914125559760
zero, 5992, 5992, 0, 90, 15.0, 16.0, 18.0, 76.0, 207.0, 1740944718, 8809951282558848
zero, 7019, 7019, 0, 89, 15.0, 16.0, 18.0, 110.0, 200.0, 1740944733, 8809988396275816
zero, 7993, 7993, 0, 102, 15.0, 16.0, 18.0, 115.0, 205.0, 1740944749, 8810025512442440
zero, 8949, 8949, 0, 126, 15.0, 16.0, 18.0, 103.0, 198.0, 1740944764, 8810062652776096
zero, 9963, 9963, 0, 134, 15.0, 16.0, 18.0, 105.0, 205.0, 1740944780, 8810099782741888
zero, 10973, 10973, 0, 146, 15.0, 16.0, 18.0, 97.0, 201.0, 1740944795, 8810136957976872
zero, 11971, 11971, 0, 149, 15.0, 16.0, 18.0, 84.0, 199.0, 1740944811, 8810174082730688
zero, 12970, 12970, 0, 182, 15.0, 16.0, 18.0, 101.0, 199.0, 1740944826, 8810211220730976
zero, 14024, 14024, 0, 195, 15.0, 16.0, 18.0, 126.0, 202.0, 1740944842, 8810248361254952
zero, 14945, 14945, 0, 203, 15.0, 16.0, 18.0, 115.0, 204.0, 1740944857, 8810285530368832
zero, 15920, 15920, 0, 203, 15.0, 16.0, 18.0, 119.0, 205.0, 1740944873, 8810322726905376
zero, 16997, 16997, 0, 243, 15.0, 16.0, 18.0, 103.0, 199.0, 1740944889, 8810359889859504
zero, 17944, 17944, 0, 240, 15.0, 17.0, 18.0, 128.0, 205.0, 1740944904, 8810397094187384
zero, 18972, 18972, 0, 267, 15.0, 16.0, 18.0, 98.0, 205.0, 1740944920, 8810434297869872
zero, 20066, 20066, 0, 272, 15.0, 16.0, 18.0, 122.0, 205.0, 1740944935, 8810471471131040
