Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 972, 972, 0, 7, 15.0, 17.0, 18.0, 111.0, 200.0, 1740944050, 8808352118862800
zero, 2013, 2013, 0, 32, 15.0, 16.0, 18.0, 52.0, 196.0, 1740944065, 8808389272471280
zero, 3004, 3004, 0, 26, 15.0, 16.0, 18.0, 106.0, 197.0, 1740944081, 8808426307796176
zero, 3967, 3967, 0, 56, 15.0, 16.0, 18.0, 114.0, 205.0, 1740944096, 8808463445819224
zero, 5005, 5005, 0, 51, 15.0, 16.0, 18.0, 119.0, 208.0, 1740944112, 8808500601046072
zero, 5970, 5970, 0, 83, 15.0, 16.0, 18.0, 128.0, 204.0, 1740944127, 8808537715191568
zero, 7017, 7017, 0, 87, 15.0, 16.0, 18.0, 112.0, 208.0, 1740944143, 8808574814649296
zero, 8008, 8008, 0, 122, 15.0, 16.0, 18.0, 137.0, 203.0, 1740944159, 8808611978367632
zero, 9003, 9003, 0, 122, 15.0, 16.0, 18.0, 125.0, 203.0, 1740944174, 8808649074964704
zero, 10012, 10012, 0, 134, 15.0, 16.0, 18.0, 113.0, 202.0, 1740944190, 8808686213067144
zero, 10980, 10980, 0, 123, 15.0, 16.0, 18.0, 111.0, 207.0, 1740944205, 8808723351560672
zero, 11969, 11969, 0, 179, 15.0, 16.0, 18.0, 130.0, 204.0, 1740944221, 8808760473714696
zero, 13006, 13006, 0, 166, 15.0, 16.0, 18.0, 96.0, 199.0, 1740944236, 8808797641102704
zero, 13989, 13989, 0, 199, 15.0, 16.0, 18.0, 128.0, 205.0, 1740944252, 8808834789391368
zero, 14943, 14943, 0, 199, 15.0, 16.0, 18.0, 118.0, 207.0, 1740944267, 8808871962035168
zero, 16075, 16075, 0, 236, 15.0, 16.0, 18.0, 100.0, 203.0, 1740944283, 8808909105491928
zero, 16947, 16947, 0, 232, 15.0, 16.0, 18.0, 123.0, 206.0, 1740944298, 8808946306599056
zero, 18009, 18009, 0, 224, 15.0, 16.0, 18.0, 119.0, 203.0, 1740944314, 8808983470826160
zero, 19023, 19023, 0, 254, 15.0, 16.0, 18.0, 108.0, 205.0, 1740944329, 8809020713957352
zero, 19969, 19969, 0, 263, 15.0, 16.0, 18.0, 91.0, 201.0, 1740944345, 8809057899396576
