Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 129489, 129489, 0, 1803, 15.0, 17.0, 20.0, 119.0, 209.0, 1754160189, 26905711232444272
zero, 254135, 254135, 0, 3454, 14.0, 18.0, 21.0, 129.0, 212.0, 1754160205, 26905748851734032
zero, 378974, 378974, 0, 5351, 13.0, 18.0, 21.0, 143.0, 221.0, 1754160221, 26905786989102152
zero, 503678, 503678, 0, 7152, 12.0, 15.0, 20.0, 133.0, 212.0, 1754160237, 26905826281899616
zero, 628022, 628022, 0, 10565, 11.0, 14.0, 18.0, 151.0, 220.0, 1754160254, 26905866813999162
zero, 752355, 752355, 0, 14675, 12.0, 15.0, 22.0, 164.0, 225.0, 1754160271, 26905908395927172
zero, 877169, 877169, 0, 17653, 11.0, 15.0, 19.0, 168.0, 236.0, 1754160289, 26905951096105674
zero, 1000726, 1000726, 0, 24894, 12.0, 15.0, 22.0, 182.0, 237.0, 1754160308, 26905995334508433
zero, 1126985, 1126985, 0, 22638, 12.0, 15.0, 20.0, 190.0, 242.0, 1754160327, 26906040453690420
zero, 1248110, 1248110, 0, 54936, 12.0, 16.0, 24.0, 200.0, 251.0, 1754160346, 26906087293551018
zero, 1366714, 1366714, 0, 105274, 12.0, 16.0, 23.0, 198.0, 245.0, 1754160366, 26906134674361854
zero, 1489456, 1489456, 0, 142893, 12.0, 16.0, 25.0, 205.0, 247.0, 1754160387, 26906184261825165
zero, 1618534, 1618534, 0, 103227, 12.0, 16.0, 27.0, 221.0, 262.0, 1754160408, 26906234695332999
zero, 1736619, 1736619, 0, 171372, 13.0, 16.0, 28.0, 251.0, 284.0, 1754160429, 26906286254694513
zero, 1781456, 1781456, 0, 898344, 13.0, 18.0, 39.0, 270.0, 546.0, 1754160451, 26906338672005762
zero, 1921290, 1921290, 0, 763147, 13.0, 18.0, 41.0, 285.0, 335.0, 1754160474, 26906393609815023
zero, 1970879, 1970879, 0, 1431654, 13.0, 19.0, 56.0, 283.0, 479.0, 1754160497, 26906448304174101
