Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 129713, 129713, 0, 1724, 14.0, 17.0, 20.0, 125.0, 209.0, 1754163468, 26913563284487872
zero, 254026, 254026, 0, 3473, 14.0, 18.0, 21.0, 146.0, 231.0, 1754163484, 26913600776906240
zero, 378847, 378847, 0, 5203, 13.0, 18.0, 21.0, 139.0, 218.0, 1754163500, 26913638925101742
zero, 503259, 503259, 0, 7392, 12.0, 16.0, 21.0, 142.0, 220.0, 1754163516, 26913678083431148
zero, 627923, 627923, 0, 11399, 11.0, 14.0, 18.0, 146.0, 218.0, 1754163533, 26913718573193616
zero, 752110, 752110, 0, 14461, 11.0, 15.0, 21.0, 159.0, 222.0, 1754163551, 26913760328777586
zero, 877852, 877852, 0, 14215, 11.0, 15.0, 20.0, 167.0, 238.0, 1754163569, 26913803373197973
zero, 1000335, 1000335, 0, 25345, 12.0, 15.0, 23.0, 179.0, 236.0, 1754163587, 26913847701209802
zero, 1126453, 1126453, 0, 22274, 12.0, 15.0, 20.0, 193.0, 245.0, 1754163606, 26913892701734964
zero, 1246084, 1246084, 0, 73113, 12.0, 16.0, 25.0, 197.0, 249.0, 1754163625, 26913939200359206
zero, 1369110, 1369110, 0, 85576, 12.0, 16.0, 23.0, 201.0, 248.0, 1754163646, 26913987656608524
zero, 1486381, 1486381, 0, 164769, 12.0, 16.0, 25.0, 204.0, 248.0, 1754163666, 26914036053117159
zero, 1603399, 1603399, 0, 234195, 13.0, 17.0, 33.0, 245.0, 276.0, 1754163687, 26914086141668394
zero, 1698581, 1698581, 0, 509225, 13.0, 16.0, 30.0, 256.0, 291.0, 1754163708, 26914137931331106
zero, 1779540, 1779540, 0, 911736, 13.0, 18.0, 45.0, 260.0, 308.0, 1754163731, 26914190984386170
zero, 1918111, 1918111, 0, 791099, 13.0, 17.0, 35.0, 274.0, 316.0, 1754163753, 26914244155869096
zero, 1957528, 1957528, 0, 1558110, 13.0, 19.0, 52.0, 279.0, 398.0, 1754163776, 26914299606597237
