Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
bimodal, 204396, 204396, 0, 2729, 16.0, 25.0, 36.0, 167.0, 225.0, 1745003457, 4980488127049144
bimodal, 403836, 403836, 0, 5704, 20.0, 34.0, 49.0, 198.0, 291.0, 1745003475, 4980530686354096
bimodal, 603592, 603592, 0, 9421, 14.0, 21.0, 35.0, 179.0, 230.0, 1745003494, 4980575494842492
bimodal, 803343, 803343, 0, 12636, 18.0, 33.0, 55.0, 192.0, 254.0, 1745003514, 4980622412136303
bimodal, 1001874, 1001874, 0, 26176, 19.0, 33.0, 57.0, 202.0, 272.0, 1745003534, 4980671224697004
bimodal, 1202786, 1202786, 0, 27375, 19.0, 34.0, 54.0, 202.0, 247.0, 1745003555, 4980722059279179
bimodal, 1399567, 1399567, 0, 51805, 20.0, 34.0, 54.0, 199.0, 236.0, 1745003578, 4980775963422270
bimodal, 1576823, 1576823, 0, 259280, 20.0, 36.0, 58.0, 205.0, 241.0, 1745003601, 4980830532962709
bimodal, 1723004, 1723004, 0, 755129, 20.0, 36.0, 63.0, 210.0, 257.0, 1745003625, 4980888287782884
bimodal, 1790794, 1790794, 0, 1941202, 21.0, 40.0, 74.0, 219.0, 253.0, 1745003649, 4980947820788568
bimodal, 1932451, 1932451, 0, 2451747, 21.0, 41.0, 92.0, 228.0, 262.0, 1745003676, 4981010705424576
bimodal, 1778818, 1778818, 0, 5651100, 21.0, 43.0, 79.0, 234.0, 268.0, 1745003702, 4981073957935236
bimodal, 1915619, 1915619, 0, 6219114, 21.0, 43.0, 95.0, 244.0, 289.0, 1745003730, 4981139973466293
bimodal, 1879921, 1879921, 0, 8402057, 21.0, 43.0, 91.0, 238.0, 273.0, 1745003758, 4981207429764768
bimodal, 1742553, 1742553, 0, 11381818, 21.0, 43.0, 76.0, 235.0, 292.0, 1745003787, 4981277828012076
bimodal, 1863669, 1863669, 0, 12113962, 21.0, 43.0, 84.0, 230.0, 262.0, 1745003817, 4981349814177930
bimodal, 1694230, 1694230, 0, 15410262, 21.0, 42.0, 73.0, 228.0, 265.0, 1745003848, 4981422551811138
bimodal, 1668822, 1668822, 0, 17536542, 21.0, 42.0, 73.0, 230.0, 264.0, 1745003879, 4981496798773506
bimodal, 1760950, 1760950, 0, 18442734, 20.0, 41.0, 74.0, 226.0, 266.0, 1745003911, 4981574613837816
bimodal, 1738771, 1738771, 0, 20422237, 20.0, 41.0, 72.0, 222.0, 258.0, 1745003944, 4981654056598812
