# Generated with command:
# $ sudo ./apps/synthetic/target/release/synthetic 128.110.218.185:5000 --config client.config --mode runtime-client --start_mpps=0.005 --mpps=4.0 --samples=20 --rampup=4 --intersample_sleep=2

Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 204315, 204315, 0, 2748, 14.0, 18.0, 20.0, 126.0, 211.0, 1744661506, 4161883664543744
zero, 404111, 404111, 0, 5498, 12.0, 15.0, 19.0, 126.0, 209.0, 1744661524, 4161926152788024
zero, 603791, 603791, 0, 9244, 12.0, 17.0, 21.0, 150.0, 224.0, 1744661542, 4161970751750348
zero, 802830, 802830, 0, 15052, 12.0, 18.0, 23.0, 175.0, 236.0, 1744661562, 4162017416727354
zero, 1001238, 1001238, 0, 27136, 12.0, 15.0, 19.0, 184.0, 243.0, 1744661582, 4162066079520054
zero, 1202567, 1202567, 0, 26408, 12.0, 18.0, 25.0, 196.0, 248.0, 1744661603, 4162116651511884
zero, 1393690, 1393690, 0, 97565, 12.0, 16.0, 20.0, 200.0, 247.0, 1744661625, 4162168403932278
zero, 1578945, 1578945, 0, 247042, 13.0, 17.0, 31.0, 238.0, 273.0, 1744661647, 4162222469966568
zero, 1735947, 1735947, 0, 635116, 12.0, 16.0, 26.0, 223.0, 254.0, 1744661671, 4162279272657552
zero, 1907487, 1907487, 0, 879141, 13.0, 19.0, 45.0, 272.0, 307.0, 1744661696, 4162338504580653
zero, 1830582, 1830582, 0, 3363874, 13.0, 17.0, 63.0, 308.0, 362.0, 1744661721, 4162398390371853
zero, 1828294, 1828294, 0, 5204315, 13.0, 16.0, 37.0, 312.0, 376.0, 1744661747, 4162461719922732
zero, 1825051, 1825051, 0, 7040225, 13.0, 17.0, 53.0, 293.0, 340.0, 1744661774, 4162526176261044
zero, 1951616, 1951616, 0, 7751889, 13.0, 16.0, 58.0, 257.0, 314.0, 1744661802, 4162591960021149
zero, 1792473, 1792473, 0, 10927586, 13.0, 16.0, 38.0, 264.0, 294.0, 1744661831, 4162660816008816
zero, 1925931, 1925931, 0, 11558002, 13.0, 15.0, 36.0, 250.0, 278.0, 1744661860, 4162732110444873
zero, 1764050, 1764050, 0, 14788106, 12.0, 15.0, 31.0, 265.0, 301.0, 1744661889, 4162801382108544
zero, 1752099, 1752099, 0, 16784848, 12.0, 15.0, 24.0, 298.0, 347.0, 1744661921, 4162876645291629
zero, 1734910, 1734910, 0, 18669776, 12.0, 15.0, 36.0, 278.0, 320.0, 1744661952, 4162952562978630
zero, 1716802, 1716802, 0, 20623924, 12.0, 15.0, 38.0, 281.0, 324.0, 1744661985, 4163030216652246
