Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 1018, 1018, 0, 14, 24.0, 27.0, 31.0, 111.0, 202.0, 1732815959, 27249012869856
zero, 2006, 2006, 0, 23, 24.0, 27.0, 31.0, 158.0, 229.0, 1732815974, 27286158301320
zero, 3011, 3011, 0, 31, 24.0, 28.0, 32.0, 116.0, 224.0, 1732815990, 27323276115248
zero, 4006, 4006, 0, 40, 24.0, 28.0, 33.0, 168.0, 227.0, 1732816005, 27360400390288
zero, 5007, 5007, 0, 65, 24.0, 29.0, 34.0, 142.0, 227.0, 1732816021, 27397511029176
zero, 6006, 6006, 0, 96, 24.0, 29.0, 34.0, 144.0, 226.0, 1732816036, 27434626078840
zero, 7007, 6922, 766, 104, 25.0, 44.0, inf, inf, inf, 1732816052, 27471726035504
zero, 8012, 8012, 0, 94, 24.0, 29.0, 35.0, 151.0, 226.0, 1732816067, 27508876214904
zero, 9003, 9003, 0, 101, 25.0, 30.0, 36.0, 135.0, 231.0, 1732816083, 27545984600256
zero, 9979, 9979, 0, 144, 23.0, 28.0, 38.0, 142.0, 227.0, 1732816098, 27583154228992
zero, 10982, 10982, 0, 148, 23.0, 29.0, 38.0, 150.0, 229.0, 1732816114, 27620220653616
zero, 12005, 12005, 0, 157, 23.0, 29.0, 38.0, 152.0, 228.0, 1732816129, 27657414554544
zero, 12970, 12970, 0, 156, 23.0, 29.0, 40.0, 166.0, 228.0, 1732816145, 27694540039744
zero, 13952, 13952, 0, 200, 23.0, 30.0, 40.0, 152.0, 230.0, 1732816160, 27731686223048
zero, 14909, 14909, 0, 185, 23.0, 30.0, 40.0, 168.0, 232.0, 1732816176, 27768824420040
zero, 16076, 16076, 0, 197, 23.0, 30.0, 41.0, 150.0, 227.0, 1732816191, 27805962357496
zero, 16957, 16957, 0, 242, 23.0, 30.0, 41.0, 144.0, 231.0, 1732816207, 27843091828776
zero, 17962, 17962, 0, 231, 25.0, 31.0, 40.0, 160.0, 236.0, 1732816222, 27880249846464
zero, 18954, 18954, 0, 237, 24.0, 32.0, 46.0, 25765.0, 31833.0, 1732816238, 27917409586040
zero, 19948, 19948, 0, 304, 27.0, 32.0, 42.0, 1344.0, 7099.0, 1732816254, 27954553298280
