Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 1018, 1018, 0, 14, 24.0, 27.0, 31.0, 111.0, 202.0, 1732815959, 27249012869856
zero, 2006, 2006, 0, 23, 24.0, 27.0, 31.0, 158.0, 229.0, 1732815974, 27286158301320
zero, 3011, 3011, 0, 31, 24.0, 28.0, 32.0, 116.0, 224.0, 1732815990, 27323276115248
zero, 4006, 4006, 0, 40, 24.0, 28.0, 33.0, 168.0, 227.0, 1732816005, 27360400390288
zero, 5007, 5007, 0, 65, 24.0, 29.0, 34.0, 142.0, 227.0, 1732816021, 27397511029176
zero, 6006, 6006, 0, 96, 24.0, 29.0, 34.0, 144.0, 226.0, 1732816036, 27434626078840
zero, 7007, 6922, 766, 104, 25.0, 44.0, inf, inf, inf, 1732816052, 27471726035504
zero, 8012, 8012, 0, 94, 24.0, 29.0, 35.0, 151.0, 226.0, 1732816067, 27508876214904
zero, 9003, 9003, 0, 101, 25.0, 30.0, 36.0, 135.0, 231.0, 1732816083, 27545984600256
zero, 9979, 9979, 0, 144, 23.0, 28.0, 38.0, 142.0, 227.0, 1732816098, 27583154228992
zero, 10982, 10982, 0, 148, 23.0, 29.0, 38.0, 150.0, 229.0, 1732816114, 27620220653616
zero, 12005, 12005, 0, 157, 23.0, 29.0, 38.0, 152.0, 228.0, 1732816129, 27657414554544
zero, 12970, 12970, 0, 156, 23.0, 29.0, 40.0, 166.0, 228.0, 1732816145, 27694540039744
zero, 13952, 13952, 0, 200, 23.0, 30.0, 40.0, 152.0, 230.0, 1732816160, 27731686223048
zero, 14909, 14909, 0, 185, 23.0, 30.0, 40.0, 168.0, 232.0, 1732816176, 27768824420040
zero, 16076, 16076, 0, 197, 23.0, 30.0, 41.0, 150.0, 227.0, 1732816191, 27805962357496
zero, 16957, 16957, 0, 242, 23.0, 30.0, 41.0, 144.0, 231.0, 1732816207, 27843091828776
zero, 17962, 17962, 0, 231, 25.0, 31.0, 40.0, 160.0, 236.0, 1732816222, 27880249846464
zero, 18954, 18954, 0, 237, 24.0, 32.0, 46.0, 25765.0, 31833.0, 1732816238, 27917409586040
zero, 19948, 19948, 0, 304, 27.0, 32.0, 42.0, 1344.0, 7099.0, 1732816254, 27954553298280

== original caladan
Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 1004, 1004, 0, 16, 16.0, 17.0, 19.0, 123.0, 217.0, 1732841574, 88581268372472
zero, 1994, 1994, 0, 23, 15.0, 17.0, 18.0, 118.0, 208.0, 1732841590, 88618378137120
zero, 2992, 2992, 0, 49, 15.0, 17.0, 18.0, 92.0, 205.0, 1732841605, 88655477887520
zero, 4001, 4001, 0, 54, 15.0, 17.0, 18.0, 85.0, 203.0, 1732841621, 88692644317280
zero, 4978, 4978, 0, 62, 15.0, 17.0, 18.0, 122.0, 210.0, 1732841636, 88729728128800
zero, 5983, 5983, 0, 65, 15.0, 17.0, 19.0, 107.0, 209.0, 1732841652, 88766841890648
zero, 6981, 6981, 0, 99, 15.0, 17.0, 19.0, 126.0, 212.0, 1732841667, 88803980543096
zero, 7972, 7972, 0, 107, 16.0, 17.0, 19.0, 112.0, 211.0, 1732841683, 88841072765632
zero, 8949, 8949, 0, 118, 16.0, 17.0, 19.0, 118.0, 207.0, 1732841698, 88878208407928
zero, 9942, 9942, 0, 125, 15.0, 17.0, 19.0, 116.0, 215.0, 1732841714, 88915324609528
zero, 11030, 11030, 0, 170, 15.0, 17.0, 19.0, 113.0, 214.0, 1732841729, 88952486240744
zero, 11999, 11999, 0, 159, 15.0, 17.0, 19.0, 111.0, 209.0, 1732841745, 88989610641040
zero, 12979, 12979, 0, 175, 16.0, 17.0, 19.0, 111.0, 210.0, 1732841760, 89026739657552
zero, 13990, 13990, 0, 211, 16.0, 17.0, 19.0, 124.0, 203.0, 1732841776, 89063927226288
zero, 14998, 14998, 0, 179, 16.0, 17.0, 19.0, 118.0, 216.0, 1732841791, 89101063998880
zero, 15944, 15944, 0, 206, 16.0, 17.0, 19.0, 126.0, 209.0, 1732841807, 89138247330176
zero, 16888, 16888, 0, 236, 16.0, 17.0, 19.0, 128.0, 211.0, 1732841822, 89175390773112
zero, 18010, 18010, 0, 211, 16.0, 17.0, 19.0, 114.0, 210.0, 1732841838, 89212588916144
zero, 18808, 18808, 0, 236, 16.0, 17.0, 19.0, 115.0, 214.0, 1732841853, 89249713470336
zero, 19955, 19955, 0, 267, 16.0, 17.0, 19.0, 118.0, 208.0, 1732841869, 89286911451856
[310.345034] CPU 02| <5> init: shutting down -> SUCCESS
