Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 1007, 1007, 0, 17, 14.0, 16.0, 18.0, 133.0, 207.0, 1738711150, 3462014843683944
zero, 1956, 1956, 0, 20, 14.0, 15.0, 17.0, 112.0, 199.0, 1738711166, 3462051853890352
zero, 3004, 3004, 0, 28, 14.0, 15.0, 17.0, 112.0, 199.0, 1738711181, 3462088961897960
zero, 4009, 4009, 0, 43, 14.0, 15.0, 17.0, 111.0, 200.0, 1738711197, 3462126120945432
zero, 4990, 4990, 0, 82, 14.0, 16.0, 17.0, 96.0, 199.0, 1738711212, 3462163201295608
zero, 5987, 5987, 0, 84, 14.0, 16.0, 17.0, 103.0, 193.0, 1738711228, 3462200338754672
zero, 6975, 6975, 0, 96, 14.0, 16.0, 18.0, 117.0, 199.0, 1738711243, 3462237422259424
zero, 8009, 8009, 0, 105, 14.0, 16.0, 17.0, 117.0, 196.0, 1738711259, 3462274601511016
zero, 9013, 9013, 0, 127, 14.0, 16.0, 17.0, 106.0, 200.0, 1738711274, 3462311713477384
zero, 10024, 10024, 0, 129, 14.0, 15.0, 17.0, 79.0, 197.0, 1738711290, 3462348779962600
zero, 10982, 10982, 0, 135, 14.0, 16.0, 17.0, 114.0, 202.0, 1738711305, 3462385948073728
zero, 11978, 11978, 0, 177, 14.0, 16.0, 17.0, 96.0, 202.0, 1738711321, 3462423061967688
zero, 12954, 12954, 0, 168, 14.0, 16.0, 18.0, 109.0, 199.0, 1738711336, 3462460206192660
zero, 13991, 13991, 0, 170, 14.0, 16.0, 18.0, 122.0, 204.0, 1738711352, 3462497350930872
zero, 15029, 15029, 0, 186, 14.0, 16.0, 18.0, 80.0, 198.0, 1738711367, 3462534516448296
zero, 15956, 15956, 0, 199, 14.0, 16.0, 18.0, 94.0, 198.0, 1738711383, 3462571627994928
zero, 16933, 16933, 0, 232, 14.0, 16.0, 18.0, 99.0, 198.0, 1738711398, 3462608800044112
zero, 17895, 17895, 0, 237, 14.0, 16.0, 18.0, 111.0, 202.0, 1738711414, 3462645956560152
zero, 18968, 18968, 0, 245, 14.0, 16.0, 18.0, 112.0, 205.0, 1738711430, 3462683097363536
zero, 19961, 19961, 0, 263, 14.0, 16.0, 18.0, 108.0, 200.0, 1738711445, 3462720238969024
