Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 1005, 1005, 0, 14, 23.0, 26.0, 31.0, 105.0, 206.0, 1732819086, 34737434285656
zero, 1992, 1992, 0, 29, 22.0, 25.0, 31.0, 160.0, 226.0, 1732819102, 34774452824504
zero, 3000, 3000, 0, 32, 22.0, 25.0, 33.0, 147.0, 224.0, 1732819117, 34811597326592
zero, 3995, 3995, 0, 48, 22.0, 25.0, 33.0, 120.0, 224.0, 1732819133, 34848735627520
zero, 4988, 4988, 0, 59, 23.0, 26.0, 34.0, 157.0, 223.0, 1732819148, 34885826692808
zero, 6021, 6021, 0, 79, 23.0, 26.0, 35.0, 126.0, 218.0, 1732819164, 34923022259400
zero, 7003, 6705, 2690, 106, 23.0, 33.0, inf, inf, inf, 1732819179, 34961522410840
zero, 7993, 7993, 0, 108, 23.0, 28.0, 38.0, 119.0, 226.0, 1732819195, 34997203245512
zero, 8969, 8969, 0, 109, 23.0, 27.0, 35.0, 156.0, 228.0, 1732819210, 35034312989648
zero, 9989, 9989, 0, 134, 23.0, 27.0, 36.0, 129.0, 228.0, 1732819226, 35071498985968
zero, 10915, 10915, 0, 150, 25.0, 30.0, 38.0, 140.0, 235.0, 1732819241, 35108610737960
zero, 11890, 11890, 0, 152, 26.0, 30.0, 38.0, 162.0, 236.0, 1732819257, 35145735318568
zero, 12993, 12993, 0, 181, 26.0, 31.0, 39.0, 147.0, 231.0, 1732819272, 35182907002568
zero, 13975, 13975, 0, 184, 23.0, 30.0, 39.0, 149.0, 230.0, 1732819288, 35219980782464
zero, 14976, 14976, 0, 186, 24.0, 30.0, 40.0, 163.0, 233.0, 1732819303, 35257166679720
zero, 16024, 16024, 0, 205, 24.0, 31.0, 41.0, 153.0, 231.0, 1732819319, 35294323497280
zero, 16910, 16910, 0, 214, 26.0, 31.0, 41.0, 171.0, 236.0, 1732819334, 35331458538032
zero, 18056, 18056, 0, 248, 23.0, 30.0, 41.0, 160.0, 236.0, 1732819350, 35368653036576
zero, 18964, 18964, 0, 276, 24.0, 31.0, 42.0, 175.0, 238.0, 1732819365, 35405787088512
zero, 19940, 17012, 26345, 257, 29.0, inf, inf, inf, inf, 1732819381, 35442997022744
[310.335030] CPU 11| <5> init: shutting down -> SUCCESS


=== original caladan
Distribution, Target, Actual, Dropped, Never Sent, Median, 90th, 99th, 99.9th, 99.99th, Start, StartTsc
zero, 995, 995, 0, 15, 16.0, 17.0, 19.0, 26.0, 160.0, 1732823181, 44542081199264
zero, 1983, 1983, 0, 29, 16.0, 17.0, 19.0, 90.0, 204.0, 1732823197, 44579230184240
zero, 3006, 3006, 0, 36, 16.0, 17.0, 19.0, 125.0, 213.0, 1732823212, 44616255663120
zero, 4005, 4005, 0, 50, 16.0, 17.0, 19.0, 141.0, 204.0, 1732823228, 44653548740384
zero, 5035, 5035, 0, 64, 16.0, 17.0, 19.0, 126.0, 211.0, 1732823243, 44690599010800
zero, 5994, 5994, 0, 70, 16.0, 17.0, 19.0, 112.0, 215.0, 1732823259, 44727708529848
zero, 6999, 6999, 0, 93, 15.0, 17.0, 19.0, 87.0, 214.0, 1732823274, 44764809888624
zero, 7999, 7999, 0, 129, 16.0, 17.0, 19.0, 135.0, 215.0, 1732823290, 44801951750480
zero, 8988, 8988, 0, 125, 15.0, 17.0, 19.0, 128.0, 211.0, 1732823305, 44839080303056
zero, 9932, 9932, 0, 130, 16.0, 17.0, 19.0, 110.0, 209.0, 1732823321, 44876174642720
zero, 10975, 10975, 0, 145, 15.0, 17.0, 19.0, 113.0, 208.0, 1732823336, 44913337637184
zero, 11923, 11923, 0, 146, 16.0, 17.0, 19.0, 129.0, 214.0, 1732823352, 44950423739072
zero, 12976, 12976, 0, 192, 15.0, 17.0, 19.0, 132.0, 207.0, 1732823367, 44987607273392
zero, 13919, 13919, 0, 178, 15.0, 17.0, 19.0, 129.0, 215.0, 1732823383, 45024681771336
zero, 14890, 14890, 0, 217, 15.0, 17.0, 19.0, 110.0, 211.0, 1732823398, 45061876728736
zero, 15963, 15963, 0, 183, 15.0, 17.0, 19.0, 107.0, 215.0, 1732823414, 45099044990688
zero, 17035, 17035, 0, 216, 16.0, 18.0, 20.0, 120.0, 214.0, 1732823429, 45136157917944
zero, 17985, 17985, 0, 247, 16.0, 17.0, 19.0, 102.0, 209.0, 1732823445, 45173336768152
zero, 18903, 18903, 0, 245, 16.0, 17.0, 20.0, 115.0, 217.0, 1732823460, 45210498179392
zero, 19969, 19969, 0, 282, 16.0, 18.0, 20.0, 118.0, 215.0, 1732823476, 45247673368088
[310.310727] CPU 03| <5> init: shutting down -> SUCCESS
